full_id,longitude,latitude
w1277798811,13.214336249999999,52.579350149999996
w345360908,13.61187595,52.51413915
w124433886,13.5873574,52.51141975
w95189663,13.51344295,52.532749249999995
w141968844,13.513248,52.429356
w614512180,13.50457645,52.5337943
w607923531,13.43915325,52.55553415
w152258384,13.714897449999999,52.435125
w302789528,13.3148275,52.51596065
w1183378615,13.537640849999999,52.54041505
w181462420,13.4107332,52.50363815
w1162517743,13.435240749999998,52.49695695
w292095335,13.2875803,52.4172234
w654334304,13.2155245,52.57611815
w39496188,13.28799995,52.632447
w179194080,13.54451095,52.54493885
w104819359,13.49122525,52.4913229
w654334300,13.21698775,52.576069450000006
w1077708839,13.21743845,52.611255
w494764067,13.449626349999999,52.5412285
w4689626,13.543956900000001,52.5166556
